survivor_id,shelter_id,first_name,last_name,birth_date,status_id
1,2,Cameron,Brandt,7/6/1987,1
2,5,Savanna,Bowman,7/12/1988,1
3,6,George,Magana,9/12/2015,4
4,3,Jett,Murray,9/3/2011,2
5,6,Baker,Gillespie,7/21/1972,2
6,4,Frankie,Vance,4/4/1985,1
7,11,Sullivan,Dyer,5/16/1987,5
8,10,Watson,Conway,6/15/1972,1
9,5,Roselyn,Barr,10/6/1961,5
10,9,Nadia,Pearson,7/12/2013,1
11,1,Warren,Richmond,5/20/1990,5
12,5,Olivia,Proctor,12/27/2014,1
13,12,Danna,Garza,3/9/2007,3
14,8,Westin,Chase,2/20/1973,1
15,11,Mariah,Cherry,4/20/1977,1
16,7,Tristan,Strong,3/29/1974,4
17,12,Finley,Bond,11/26/2015,1
18,11,Dallas,Truong,8/2/2022,5
19,1,Bethany,Curtis,8/18/2024,1
20,7,Kareem,Savage,12/25/1992,4
21,9,Cameron,Andersen,8/29/2019,1
22,1,Amber,Henson,9/17/2029,1
23,5,Marlee,Sweeney,7/8/2029,1
24,12,Asa,Valentine,6/16/1993,1
25,9,Luke,Poole,11/10/1982,3
26,11,Elias,Pierce,5/1/2029,5
27,8,Stella,Newman,3/29/1969,2
28,4,Atticus,Hanson,2/9/2020,1
29,1,Jericho,Valenzuela,6/4/2030,1
30,9,Rohan,Yu,5/14/1973,3
31,9,Gwendolyn,McFarland,8/17/1974,1
32,12,Cataleya,Bryant,12/25/2028,5
33,6,Salvador,Booth,12/7/1987,3
34,10,Bo,Humphrey,6/10/1965,1
35,9,Miriam,Dyer,12/30/1993,4
36,12,Rory,Adams,5/22/1981,1
37,6,Zyair,Warner,5/20/1988,3
38,2,Hadlee,Underwood,9/18/1972,1
39,6,Iker,Salazar,2/2/1997,5
40,9,Hayden,Bentley,11/7/2013,1
41,5,Elise,Glass,3/25/1977,3
42,9,Indie,Aguilar,2/12/1967,1
43,12,Eduardo,Coleman,6/9/2007,1
44,1,Emersyn,Valentine,5/11/2004,1
45,2,Emerie,Beil,9/14/1987,1
46,11,Solomon,Evans,1/26/1972,3
47,11,Mark,Dawson,7/15/1980,1
48,1,Ishaan,Olson,7/20/1987,1
49,1,Belen,Bowman,5/23/2003,1
50,6,Ruben,Price,5/4/1988,1
51,12,Aydin,Santana,7/28/2004,5
52,7,Vincenzo,Gaines,8/31/1996,1
53,11,Vivienne,Norman,10/15/1986,1
54,11,Bailey,Valdez,8/23/1983,1
55,7,Easton,Huffman,10/22/1975,5
56,1,Allison,Villa,7/24/1982,2
57,3,Kristopher,Butler,12/28/1984,1
58,4,Gabrielle,Benjamin,3/13/2006,1
59,9,Ledger,Peralta,4/14/1998,1
60,12,Sunny,French,6/12/1972,2
61,5,Heidi,Bautista,7/6/1986,1
62,1,Khaleesi,Barnes,1/14/1968,4
63,5,Benjamin,Proctor,1/6/1966,1
64,1,Clare,Cherry,7/11/2027,1
65,5,Iker,Strong,8/19/2005,5
66,11,Florence,Flynn,6/7/2008,1
67,2,Emberly,Daniels,9/24/2022,1
68,4,Melanie,English,7/31/2005,1
69,1,Juelz,Schneider,8/3/2008,1
70,11,Marco,Madden,7/28/1971,1
